country,iso3,year,remittances_pct_gdp
Kenya,KEN,2023,3.93262959527649
Kenya,KEN,2022,3.54717907214312
Kenya,KEN,2021,3.43661248510652
Kenya,KEN,2020,3.08763090265523
Kenya,KEN,2019,2.82749196207077
Kenya,KEN,2018,2.95041012979608
Liberia,LBR,2024,21.2758383451019
Liberia,LBR,2023,21.6447627671982
Liberia,LBR,2022,21.9115282607278
Liberia,LBR,2021,24.6213565214495
Liberia,LBR,2020,13.1296865672502
Liberia,LBR,2019,10.4303065620884
Liberia,LBR,2018,13.4372679004895
Lesotho,LSO,2025,20.7156568499502
Lesotho,LSO,2024,19.8980594957291
Lesotho,LSO,2023,22.5250121212136
Lesotho,LSO,2022,22.6158645366654
Lesotho,LSO,2021,19.6700805338208
Lesotho,LSO,2020,21.9061888556538
Lesotho,LSO,2019,22.1295783465613
Lesotho,LSO,2018,22.3968139789033
Morocco,MAR,2025,7.48822220209894
Morocco,MAR,2024,7.78840277046277
Morocco,MAR,2023,8.0456838833246
Morocco,MAR,2022,8.51110257085938
Morocco,MAR,2021,7.67928536986343
Morocco,MAR,2020,6.10953091862088
Morocco,MAR,2019,5.40068574715694
Morocco,MAR,2018,5.43376597358728
Madagascar,MDG,2024,2.30923332864651
Madagascar,MDG,2023,1.94213463622596
Madagascar,MDG,2022,2.51131420590994
Madagascar,MDG,2021,3.06318819411447
Madagascar,MDG,2020,3.79541630461884
Madagascar,MDG,2019,2.89036438291827
Madagascar,MDG,2018,3.09230520731333
Mali,MLI,2024,3.99433597388338
Mali,MLI,2023,4.21798849484247
Mali,MLI,2022,4.91124884987894
Mali,MLI,2021,4.91954656262131
Mali,MLI,2020,4.81742226778366
Mali,MLI,2019,4.74523082844702
Mali,MLI,2018,5.02048713450707
Mauritania,MRT,2024,0.869003936095877
Mauritania,MRT,2023,1.56947912217259
Mauritania,MRT,2022,1.14289772827218
Mauritania,MRT,2021,0.142882127768859
Mauritania,MRT,2020,2.04181103155501
Mauritania,MRT,2019,0.816476672490999
Mauritania,MRT,2018,0.807866877690839
Malawi,MWI,2024,1.65109016161798
Malawi,MWI,2023,1.35282219243253
Malawi,MWI,2022,2.12676683960859
Malawi,MWI,2021,2.57418486200992
Malawi,MWI,2020,1.9682614672589
Malawi,MWI,2019,2.54177432384451
Malawi,MWI,2018,1.83280988771719
Namibia,NAM,2024,0.707386765887929
Namibia,NAM,2023,0.669748114888564
Namibia,NAM,2022,0.56572462364198
Namibia,NAM,2021,0.50776120762883
Namibia,NAM,2020,0.571164175639804
Namibia,NAM,2019,0.522993878187629
Namibia,NAM,2018,0.392271718299272
Niger,NER,2024,3.29647457556865
Niger,NER,2023,3.68054894189542
Niger,NER,2022,4.66939565486606
Niger,NER,2021,2.36561041163059
Niger,NER,2020,3.81690394503684
Niger,NER,2019,2.48503302202279
Niger,NER,2018,2.31762903339342
Nigeria,NGA,2025,7.83684309060138
Nigeria,NGA,2024,8.77134410191558
Nigeria,NGA,2023,4.01108712398946
Nigeria,NGA,2022,3.11115327876129
Nigeria,NGA,2021,3.19846919167208
Nigeria,NGA,2020,2.87469533137043
Nigeria,NGA,2019,3.56309024895967
Nigeria,NGA,2018,5.76446757768372
Rwanda,RWA,2024,3.42162469319446
Rwanda,RWA,2023,3.49887179188661
Rwanda,RWA,2022,3.44906300474429
Rwanda,RWA,2021,3.47654895385628
Rwanda,RWA,2020,2.67059430371255
Rwanda,RWA,2019,2.47840620988639
Rwanda,RWA,2018,2.69955715634857
Sudan,SDN,2022,2.90211266882246
Sudan,SDN,2021,3.26916579487434
Sudan,SDN,2020,1.8323008553696
Sudan,SDN,2019,1.61517721904827
Sudan,SDN,2018,1.3150777470696
Senegal,SEN,2023,10.6434131462934
Senegal,SEN,2022,10.4760303181811
Senegal,SEN,2021,11.2519045633329
Senegal,SEN,2020,10.6291398745498
Senegal,SEN,2019,10.7915365396284
Senegal,SEN,2018,10.5012036444705
Sierra Leone,SLE,2024,4.60220597454006
Sierra Leone,SLE,2023,4.56684008152197
Sierra Leone,SLE,2022,4.08881666032325
Sierra Leone,SLE,2021,2.56439301497754
Sierra Leone,SLE,2020,2.646899955164
Sierra Leone,SLE,2019,2.72079422269001
Sierra Leone,SLE,2018,1.14576246374955
Togo,TGO,2020,8.68798915490316
Togo,TGO,2019,7.2639351033788
Togo,TGO,2018,6.413439558884
Tunisia,TUN,2024,6.33501731969712
Tunisia,TUN,2023,5.95811983250858
Tunisia,TUN,2022,6.24650668661797
Tunisia,TUN,2021,6.30339440555567
Tunisia,TUN,2020,5.36706286105133
Tunisia,TUN,2019,4.26980521845833
Tunisia,TUN,2018,3.97992085606504
Uganda,UGA,2024,2.65140809528268
Uganda,UGA,2023,3.10402269113861
Uganda,UGA,2022,2.74413888269122
Uganda,UGA,2021,2.85028028798949
Uganda,UGA,2020,2.82418111836855
Uganda,UGA,2019,4.02937856649093
Uganda,UGA,2018,4.06369509425149
Zambia,ZMB,2024,1.32123122514255
Zambia,ZMB,2023,0.890885868311165
Zambia,ZMB,2022,0.834891790615501
Zambia,ZMB,2021,1.08483362686231
Zambia,ZMB,2020,0.743558162947741
Zambia,ZMB,2019,0.421556142689402
Zambia,ZMB,2018,0.40653553151388
Zimbabwe,ZWE,2024,8.45310225048767
Zimbabwe,ZWE,2023,9.20296579593946
Zimbabwe,ZWE,2022,7.56924974242452
Zimbabwe,ZWE,2021,6.23337550487173
Zimbabwe,ZWE,2020,5.72874763592075
Zimbabwe,ZWE,2019,4.24755720869798
Zimbabwe,ZWE,2018,4.18170276624164
