iso3,country_name,year,oil_rents_pct_gdp,natural_resources_rents_pct_gdp,gdp_per_capita_usd,energy_use_kg_oil_eq,electricity_from_oil_pct,merchandise_exports_usd,fdi_inflows_usd,oil_dependency_ratio,is_african
GAB,Gabon,2018,18.3274076798358,21.16026297404,7624.2775233771,2294.91220106774,13.9459459459459,8584000000.0,1379070820.0,0.8661238143552552,1
GAB,Gabon,2019,16.6842425426461,19.1754988018892,7441.1786472281,2211.81226516481,14.0046682227409,7714000000.0,1553136880.0,0.8700812800239826,1
GAB,Gabon,2020,9.97982419987045,13.4988249621846,6605.80346077904,2143.31412266993,13.2426153335546,7345000000.0,1716511510.0,0.7393105865012529,1
GAB,Gabon,2021,15.5565091491463,18.4933440925176,8181.40914134398,2106.98378794876,15.211810012837,8031000000.0,1529221080.0,0.8411950305645618,1
GAB,,2022,,,8409.20741452279,2092.38401880367,17.1483010479517,10470000000.0,1104592040.0,,1
GAB,,2023,,,7802.82433276138,2041.86846663466,16.8686224489796,12695000000.0,1150733280.0,,1
GAB,,2024,,,8230.04311451151,,,13000000000.0,1144562350.0,,1
GAB,,2025,,,8263.03321595,,,11600000000.0,,,1
GHA,Ghana,2012,4.78155703124787,15.8226771827735,,,,,,0.3021964599299073,1
GHA,Ghana,2013,3.51474407100181,10.8892140729202,,,,,,0.3227729795249813,1
GHA,Ghana,2014,3.42103394358244,12.249534681472,,,,,,0.2792786854799404,1
GHA,Ghana,2015,1.29146546233544,10.5635168212992,,325.604049227551,10.8217993079585,,,0.12225715016910473,1
GHA,Ghana,2016,1.00121845985195,8.64980290681468,1912.47991339951,327.930479432879,35.8492164337145,11138000000.0,3485333369.27963,0.1157504362397839,1
GHA,Ghana,2017,2.60564944915053,10.3700404312643,2012.28662641265,351.113971311685,30.1563610518834,13835000000.0,3254990000.0,0.2512670482262385,1
GHA,Ghana,2018,4.1465494257117,9.7904078745383,2195.32166016377,378.657496575592,22.9997538158543,14943000000.0,2989035000.0,0.4235318363492844,1
GHA,Ghana,2019,4.069102005933,9.76736656039863,2186.65822682613,380.421155062376,13.4681985597273,15668000000.0,3879831469.7,0.41660175040742303,1
GHA,Ghana,2020,2.25284947216201,8.48657958474163,2195.45481659987,392.373098140481,3.85664006345115,14472000000.0,1875782953.46905,0.2654602422173122,1
GHA,Ghana,2021,4.05501917796431,13.3474845007777,2445.18662529344,382.191892428598,2.73873220277501,14727000000.0,2533586462.03873,0.3038039997520163,1
GHA,,2022,,,2229.89122654479,361.562855486466,1.32516078905339,17276000000.0,1428411737.133,,1
GHA,,2023,,,2383.90410476221,369.331287865765,2.25399703313005,16703000000.0,1319315614.67989,,1
GHA,,2024,,,2419.2518672482,,,19165000000.0,1765552579.5641,,1
GHA,,2025,,,3257.1588903576,,,31107000000.0,1908244010.61846,,1
GNQ,Equatorial Guinea,2012,34.9943032804264,39.0027634245776,,,,,,0.8972262529063448,1
GNQ,Equatorial Guinea,2013,29.0020263766332,33.3474569225038,,,,,,0.869692295998194,1
GNQ,Equatorial Guinea,2014,22.8648774988219,27.1072398964958,,,,,,0.8434970725949006,1
GNQ,Equatorial Guinea,2015,12.576041460388,17.5005073478909,,1370.90677563127,0.69284064665127,,,0.7186101071466149,1
GNQ,Equatorial Guinea,2016,11.7086428410267,16.4599653575836,7453.19797948517,1554.8565612454,0.643776824034335,4137000000.0,1755302290.0,0.7113406733649156,1
GNQ,Equatorial Guinea,2017,16.1366726241749,21.9589067386853,7809.10465655488,1338.09995530593,0.675168792198049,4970000000.0,384833210.0,0.7348577420635749,1
GNQ,Equatorial Guinea,2018,20.3264698484548,27.8023533090755,8102.47084834031,1413.00455925482,0.664697193500739,6052000000.0,-144465770.0,0.7311060910020033,1
GNQ,Equatorial Guinea,2019,18.813552099543,25.4372801609757,6804.14923073888,1275.65943710534,0.642398286937901,5268000000.0,821413130.0,0.7396054916439371,1
GNQ,Equatorial Guinea,2020,10.7521167179464,16.6815988795919,5764.05502912947,1116.56450555349,0.639204545454546,2859000000.0,-9072490.0,0.6445495300273903,1
GNQ,Equatorial Guinea,2021,14.9400221325798,23.500064053404,6945.63069794539,1295.32967648807,0.624133148404993,3845000000.0,561595620.0,0.6357438898306206,1
GNQ,,2022,,,7589.29964909381,1278.54521201331,0.598404255319149,6661000000.0,1388191640.0,,1
GNQ,,2023,,,6788.35271638376,1271.35042221008,0.549450549450549,3157000000.0,141780890.0,,1
GNQ,,2024,,,7003.58055684906,,,2979000000.0,188011680.0,,1
GNQ,,2025,,,6615.25245207167,,,2600000000.0,,,1
LBY,Libya,2012,57.6300935046394,59.1030408512754,,,,,,0.9750783153384194,1
LBY,Libya,2013,45.8016137051651,47.7413993201726,,,,,,0.9593688990555445,1
LBY,Libya,2014,28.6305298163822,31.016947831293,,,,,,0.9230608366789996,1
LBY,Libya,2015,14.4264442000075,16.3921988648858,,2942.78950702997,45.962517661486,,,0.8800798671928513,1
LBY,Libya,2016,10.7931417666286,12.2468654255016,7525.80299308216,3350.14260585583,27.4029280712922,20880000000.0,,0.8812983070879575,1
LBY,Libya,2017,20.9466167504799,22.1587604827104,9965.83236729757,3698.16883501654,31.3662450046573,20881000000.0,,0.9452973133052146,1
LBY,Libya,2018,30.0345298438813,31.6168598912657,11196.5854810844,3345.56282924367,34.4034415147347,30994000000.0,,0.9499529664607356,1
LBY,Libya,2019,32.7515623093831,34.4990280272661,9963.19489084483,3691.94352087401,32.8433637518771,29250000000.0,,0.9493473927293864,1
LBY,Libya,2020,9.24399152945122,11.4789831280341,6650.33810585348,1411.0433394018,26.6483609613885,8443000000.0,,0.8052970743441065,1
LBY,Libya,2021,56.3779371892049,61.0347089411103,4935.82787349801,2102.63589527131,23.4785108523789,30972000000.0,603000000.0,0.9237028924574947,1
LBY,,2022,,,5986.63694851258,1543.81471951705,23.9104426593745,39196000000.0,702000000.0,,1
LBY,,2023,,,6026.51518708812,2662.16736616396,26.1956972678243,33079000000.0,794700000.0,,1
LBY,,2024,,,6569.16408678648,,,30191000000.0,,,1
LBY,,2025,,,6448.82415074121,,,30085000000.0,,,1
NGA,Nigeria,2012,13.0904727134596,15.1485150031193,,,,,,0.8641423077287828,1
NGA,Nigeria,2013,9.88011499667836,11.6227181116144,,,,,,0.8500692266471915,1
NGA,Nigeria,2014,7.0738580847829,8.78193552361452,,,,,,0.8055010271666628,1
NGA,Nigeria,2015,2.78345150643408,4.55410681800406,,320.318542380023,0.0,,,0.6111959200056687,1
NGA,Nigeria,2016,2.68429043488445,4.65772615666869,2070.4127339595,331.486140542982,0.0,33302000000.0,3453258407.9848,0.5763091999389494,1
NGA,Nigeria,2017,5.47262882301734,7.80498492445019,1876.34027111773,316.730326522651,0.0,44468000000.0,2412974916.23263,0.7011709665029046,1
NGA,Nigeria,2018,7.69068153465603,9.79850822600435,2057.87944554011,300.45746967174,0.0,60547000000.0,775247400.003029,0.7848828982197169,1
NGA,Nigeria,2019,6.51475056054778,8.35322267194456,3189.81286496183,331.04474710561,0.0476779334982138,62531000000.0,2305099811.70357,0.779908643214847,1
NGA,Nigeria,2020,3.31241719212516,5.07484002483035,2797.184580679,324.45517224141,0.0441169034737321,35634000000.0,2385277665.91607,0.6527136177530823,1
