country_code,country_name,indicator_id,indicator_name,year,value
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,18.96220016
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,16.35759926
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,14.28740025
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,12.47929955
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,10.89999962
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,7.7963266079129
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,7
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,6.5
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,18.96159935
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,17.98810346
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,16.84830093
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,15.30300045
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,13.89949989
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,11.05860043
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,8.798299789
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,7
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,6.300000191
MWI,Malawi,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,6
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,31.70330048
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,28.80579948
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,28.01679993
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,24.4416008
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,23.8
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,21.3579998
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,19.16659927
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,17.2
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,14.63710022
RWA,Rwanda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,12.45600033
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,31.16209984
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,28.43190002
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,26.86059952
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,22.87540054
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,19.48139954
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,16.59090042
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,15.49069977
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,14.46339989
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,13.5042328468919
TZA,Tanzania,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,10
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,8.949831061
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,9.286999702
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,9.636899948
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,10
UGA,Uganda,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,7.4
