country,iso3,year,container_throughput_teu
Senegal,SEN,2021,769358.0
Senegal,SEN,2022,738000.0
Senegal,SEN,2023,848276.0
Senegal,SEN,2024,881239.0
Tunisia,TUN,2015,471248.0
Tunisia,TUN,2016,489670.0
Tunisia,TUN,2017,480619.0
Tunisia,TUN,2018,493366.0
Tunisia,TUN,2019,474222.0
Tunisia,TUN,2020,483178.0
Tunisia,TUN,2021,469658.0
Tunisia,TUN,2022,431420.0
Tunisia,TUN,2023,444714.0
Tunisia,TUN,2024,491955.0
Tanzania,TZA,2015,639230.0
Tanzania,TZA,2016,630290.0
Tanzania,TZA,2017,617266.0
Tanzania,TZA,2018,705231.0
Tanzania,TZA,2019,726431.0
Tanzania,TZA,2020,709881.0
Tanzania,TZA,2021,700000.0
Tanzania,TZA,2022,700000.0
Tanzania,TZA,2024,985000.0
United States,USA,2015,46496985.0
United States,USA,2016,46940227.0
United States,USA,2017,50196165.0
United States,USA,2018,52994177.0
United States,USA,2019,54236516.0
United States,USA,2020,53059014.0
United States,USA,2021,60874671.0
United States,USA,2022,61191458.0
United States,USA,2023,54618858.0
United States,USA,2024,59707490.0
South Africa,ZAF,2015,4662479.0
South Africa,ZAF,2016,4354666.0
South Africa,ZAF,2017,4563618.0
South Africa,ZAF,2018,4892423.0
South Africa,ZAF,2019,4529034.0
South Africa,ZAF,2020,4075618.0
South Africa,ZAF,2021,4415223.0
South Africa,ZAF,2022,4053350.0
South Africa,ZAF,2023,4123821.0
South Africa,ZAF,2024,4303682.0
