country_code,country_name,year,incidence_per_1000,low,high,parent_region
ZMB,ZMB,2013,228.0255656,177.3817168,287.9333781,Africa
SSD,SSD,2018,276.3027121,185.4328598,395.5390494,Africa
STP,STP,2010,17.3045401,17.3045401,17.3045401,Africa
MOZ,MOZ,2010,377.9403967,310.9315766,455.2480713,Africa
STP,STP,2011,45.47290855,45.47290855,45.47290855,Africa
SLE,SLE,2020,313.1107538,178.197648,510.1879917,Africa
ZMB,ZMB,2020,234.2474145,185.8957748,291.2029474,Africa
GIN,GIN,2023,285.502144,200.0749351,392.0042914,Africa
GNQ,GNQ,2014,333.9969868,236.47974,463.3028224,Africa
ERI,ERI,2017,36.79848601,23.51739348,50.98045549,Africa
GNB,GNB,2022,97.6115741,30.451421,231.9785907,Africa
BWA,BWA,2011,0.496104272,0.381171024,0.683052656,Africa
MOZ,MOZ,2020,320.6527106,251.9078692,402.8207691,Africa
CPV,CPV,2023,0.0,0.0,0.0,Africa
BEN,BEN,2018,407.709079,323.7784946,507.2398944,Africa
AGO,AGO,2011,157.062634,117.605634,205.0635002,Africa
TCD,TCD,2013,208.0210694,137.5576778,299.7284262,Africa
MDG,MDG,2015,106.9755724,75.78504774,143.6306083,Africa
CAF,CAF,2023,345.9834408,166.0140478,641.0697643,Africa
RWA,RWA,2019,385.3459071,299.5446773,475.0557975,Africa
ZAF,ZAF,2023,0.837019584,0.837019584,0.837019584,Africa
CIV,CIV,2017,268.5383373,171.1950758,402.779656,Africa
ETH,ETH,2011,143.6950999,57.57346562,375.2873071,Africa
AGO,AGO,2023,255.4718915,157.5463948,395.4405251,Africa
ZWE,ZWE,2014,97.70572,72.10578965,124.8368032,Africa
NER,NER,2015,404.9041255,257.9195449,606.6006765,Africa
MYT,MYT,2016,0.319766925,0.319766925,0.319766925,Africa
CMR,CMR,2018,248.9797082,189.8935135,319.9394023,Africa
MWI,MWI,2018,270.9531009,195.9733768,363.1691579,Africa
GMB,GMB,2016,130.0735757,98.32339654,164.446853,Africa
TCD,TCD,2021,206.6533232,125.3333612,318.1594872,Africa
TGO,TGO,2022,278.590208,201.6713133,371.4259751,Africa
TCD,TCD,2012,215.4749261,160.4790692,284.7330836,Africa
CIV,CIV,2019,292.7641743,211.0393892,395.0140618,Africa
ZMB,ZMB,2010,169.9224537,133.948044,212.5526508,Africa
TCD,TCD,2022,209.093854,123.9588102,330.3249113,Africa
GNQ,GNQ,2024,227.7301751,148.9378822,333.7953682,Africa
COD,COD,2016,310.2763857,237.6846296,399.3548054,Africa
BWA,BWA,2015,0.311489158,0.240291636,0.418970032,Africa
UGA,UGA,2012,349.7942202,277.8102825,434.964086,Africa
ETH,ETH,2014,144.069847,54.10456645,251.5094851,Africa
MDG,MDG,2023,200.0243173,127.9292177,279.2842485,Africa
TCD,TCD,2024,206.1380953,121.6401696,330.0790259,Africa
SWZ,SWZ,2022,0.627021705,0.627021705,0.627021705,Africa
COD,COD,2021,338.0367627,259.4746485,435.7402049,Africa
SWZ,SWZ,2012,1.299728932,1.299728932,1.299728932,Africa
COM,COM,2022,24.78458093,24.78458093,24.78458093,Africa
MLI,MLI,2018,377.1709055,266.18714,535.8584858,Africa
MUS,MUS,2021,0.0,,,Africa
SEN,SEN,2016,45.5038804,31.24255879,61.42858402,Africa
CIV,CIV,2012,375.1917047,300.3035423,468.5273556,Africa
DZA,DZA,2016,0.0,0.0,0.0,Africa
GHA,GHA,2013,344.3307489,280.4884493,420.2636214,Africa
GAB,GAB,2020,193.5747903,144.5463349,253.5195964,Africa
GNB,GNB,2021,98.71184807,36.51651585,219.4678827,Africa
CPV,CPV,2012,0.007512696,0.007512696,0.007512696,Africa
BFA,BFA,2022,356.2663849,237.6015399,514.8115846,Africa
MOZ,MOZ,2011,375.9882167,309.2642232,453.3525897,Africa
LBR,LBR,2020,276.9257688,180.5047487,405.6792669,Africa
ERI,ERI,2020,48.2758935,31.28283307,67.03135112,Africa
SEN,SEN,2024,36.78065012,28.9143721,45.3384837,Africa
GIN,GIN,2019,321.2020764,222.894202,450.9192483,Africa
ZMB,ZMB,2012,206.1546522,159.8948066,259.2735159,Africa
BFA,BFA,2016,373.1719736,276.7622242,494.1937035,Africa
