country_code,year,deaths_count,low,high,parent_region
MRT,2023,551.0,170.0,1260.0,Africa
RWA,2012,2955.0,2860.0,3060.0,Africa
MYT,2023,0.0,0.0,0.0,Africa
MWI,2020,7423.0,6280.0,9340.0,Africa
GAB,2011,392.0,360.0,430.0,Africa
MRT,2016,988.0,300.0,2290.0,Africa
CIV,2024,10817.0,9260.0,12800.0,Africa
NER,2019,32319.0,28300.0,37000.0,Africa
GMB,2020,610.0,580.0,650.0,Africa
RWA,2024,3410.0,3190.0,3840.0,Africa
MLI,2015,18935.0,17100.0,21000.0,Africa
GIN,2020,11118.0,9260.0,13600.0,Africa
COM,2021,26.0,12.0,41.0,Africa
AGO,2017,13849.0,9970.0,19900.0,Africa
GNB,2014,851.0,750.0,970.0,Africa
GNB,2017,855.0,740.0,1000.0,Africa
CIV,2016,9766.0,9000.0,10600.0,Africa
CMR,2022,12779.0,10400.0,16200.0,Africa
ETH,2023,18567.0,6760.0,36000.0,Africa
TZA,2015,23244.0,22400.0,24200.0,Africa
LBR,2012,2952.0,2760.0,3180.0,Africa
CAF,2016,4839.0,4200.0,5580.0,Africa
TCD,2023,13707.0,10400.0,18900.0,Africa
LBR,2014,3295.0,3030.0,3600.0,Africa
MDG,2024,20903.0,8080.0,38900.0,Africa
GAB,2014,392.0,360.0,440.0,Africa
KEN,2022,11811.0,11200.0,12600.0,Africa
CAF,2018,4035.0,3440.0,4740.0,Africa
ZMB,2014,8037.0,7660.0,8460.0,Africa
TZA,2022,25499.0,23800.0,27700.0,Africa
CPV,2023,0.0,,,Africa
CAF,2021,5107.0,4120.0,6380.0,Africa
SLE,2012,12766.0,11800.0,13800.0,Africa
SLE,2018,8620.0,7600.0,9770.0,Africa
CMR,2013,12222.0,11400.0,13100.0,Africa
TZA,2012,20796.0,20200.0,21500.0,Africa
ETH,2017,12046.0,3490.0,28000.0,Africa
SLE,2010,14295.0,13300.0,15300.0,Africa
BDI,2012,5030.0,4640.0,5490.0,Africa
DZA,2015,0.0,,,Africa
ERI,2012,85.0,35.0,160.0,Africa
MWI,2023,7376.0,6360.0,9200.0,Africa
STP,2021,1.0,,,Africa
CPV,2018,0.0,,,Africa
NER,2022,34802.0,28700.0,42700.0,Africa
LBR,2016,3984.0,3570.0,4490.0,Africa
NGA,2019,181560.0,146000.0,231000.0,Africa
BDI,2015,5437.0,4830.0,6240.0,Africa
RWA,2018,3143.0,2980.0,3380.0,Africa
RWA,2011,2977.0,2890.0,3080.0,Africa
TGO,2012,4402.0,4090.0,4750.0,Africa
LBR,2010,2750.0,2580.0,2940.0,Africa
NAM,2011,36.0,,,Africa
MOZ,2013,23764.0,20700.0,27700.0,Africa
ZMB,2019,8084.0,7430.0,8940.0,Africa
MYT,2016,18.0,18.0,18.0,Africa
UGA,2017,15802.0,14400.0,17500.0,Africa
BDI,2014,5249.0,4730.0,5900.0,Africa
MWI,2021,7456.0,6310.0,9400.0,Africa
GNB,2024,897.0,770.0,1120.0,Africa
BEN,2019,10732.0,9430.0,12200.0,Africa
UGA,2011,23537.0,22200.0,25000.0,Africa
GNQ,2012,653.0,580.0,740.0,Africa
GNQ,2011,614.0,550.0,690.0,Africa
AGO,2014,11615.0,8890.0,15500.0,Africa
LBR,2019,4407.0,3740.0,5340.0,Africa
GIN,2011,14505.0,13500.0,15600.0,Africa
ZMB,2020,8556.0,7400.0,10300.0,Africa
NAM,2014,61.0,,,Africa
COM,2015,4.0,2.0,7.0,Africa
COM,2012,125.0,58.0,190.0,Africa
GHA,2020,11311.0,10700.0,12200.0,Africa
NAM,2019,6.0,,,Africa
GMB,2018,600.0,570.0,630.0,Africa
CMR,2014,12229.0,11400.0,13100.0,Africa
NER,2010,26267.0,24300.0,28500.0,Africa
CAF,2024,5062.0,3920.0,6580.0,Africa
NGA,2011,183768.0,168000.0,201000.0,Africa
NAM,2015,32.0,,,Africa
CAF,2017,4978.0,4280.0,5800.0,Africa
NAM,2021,14.0,,,Africa
MLI,2011,22149.0,20600.0,23900.0,Africa
STP,2019,0.0,,,Africa
BDI,2018,6418.0,5370.0,7970.0,Africa
GMB,2024,643.0,600.0,700.0,Africa
GMB,2014,619.0,590.0,650.0,Africa
STP,2012,7.0,,,Africa
SEN,2014,1363.0,570.0,2400.0,Africa
BWA,2024,1.0,,,Africa
DZA,2022,0.0,,,Africa
NAM,2013,21.0,,,Africa
CAF,2020,4053.0,3350.0,4930.0,Africa
BEN,2015,10069.0,9230.0,11000.0,Africa
ZMB,2013,7459.0,7160.0,7810.0,Africa
BWA,2017,17.0,,,Africa
COG,2016,2071.0,1840.0,2400.0,Africa
GIN,2012,14478.0,13400.0,15600.0,Africa
MRT,2010,642.0,620.0,660.0,Africa
COG,2014,2030.0,1840.0,2270.0,Africa
TZA,2010,21418.0,20700.0,22200.0,Africa
ZWE,2020,2951.0,1110.0,5640.0,Africa
BDI,2017,5911.0,5060.0,7140.0,Africa
ERI,2022,316.0,120.0,590.0,Africa
BFA,2013,26341.0,23000.0,30100.0,Africa
SSD,2016,7391.0,4790.0,11300.0,Africa
GNB,2023,885.0,750.0,1100.0,Africa
SLE,2017,8961.0,8010.0,10000.0,Africa
ZAF,2010,83.0,,,Africa
GIN,2016,11417.0,10400.0,12600.0,Africa
GNQ,2020,790.0,660.0,1030.0,Africa
MYT,2021,0.0,0.0,0.0,Africa
LBR,2024,3563.0,2870.0,4710.0,Africa
MRT,2021,318.0,97.0,710.0,Africa
COM,2014,5.0,2.0,8.0,Africa
BWA,2014,22.0,,,Africa
NGA,2020,200257.0,154000.0,269000.0,Africa
ZAF,2022,29.0,,,Africa
NER,2016,35085.0,31600.0,39100.0,Africa
GNB,2020,954.0,770.0,1260.0,Africa
GIN,2024,10245.0,8480.0,12600.0,Africa
GAB,2010,363.0,340.0,400.0,Africa
SWZ,2016,3.0,,,Africa
ERI,2010,161.0,65.0,300.0,Africa
STP,2024,1.0,,,Africa
ZWE,2021,876.0,330.0,1680.0,Africa
SEN,2010,1953.0,800.0,3480.0,Africa
MLI,2023,14203.0,11200.0,18300.0,Africa
MLI,2018,16287.0,14300.0,18800.0,Africa
CMR,2020,13523.0,11300.0,16500.0,Africa
BWA,2021,5.0,,,Africa
ETH,2011,16648.0,5400.0,44300.0,Africa
TCD,2024,13862.0,10500.0,19100.0,Africa
BEN,2024,9946.0,7860.0,12700.0,Africa
SSD,2023,6671.0,3650.0,13700.0,Africa
COD,2024,67676.0,43400.0,110000.0,Africa
DZA,2013,0.0,,,Africa
MLI,2012,23378.0,21600.0,25300.0,Africa
BWA,2022,6.0,,,Africa
CMR,2018,11779.0,10700.0,13000.0,Africa
TGO,2024,3486.0,2900.0,4290.0,Africa
ZAF,2020,38.0,,,Africa
COM,2019,45.0,21.0,69.0,Africa
NAM,2020,35.0,,,Africa
UGA,2010,25736.0,24300.0,27200.0,Africa
MRT,2011,662.0,640.0,680.0,Africa
GNQ,2022,800.0,660.0,1070.0,Africa
AGO,2020,17198.0,11600.0,27000.0,Africa
DZA,2010,1.0,,,Africa
TGO,2013,4930.0,4550.0,5360.0,Africa
GIN,2015,12092.0,11100.0,13200.0,Africa
ZWE,2018,1624.0,620.0,3050.0,Africa
MYT,2017,9.0,9.0,9.0,Africa
MWI,2012,9345.0,8870.0,9870.0,Africa
MDG,2023,15974.0,6120.0,29900.0,Africa
GMB,2023,632.0,590.0,690.0,Africa
MDG,2015,6724.0,2830.0,12000.0,Africa
