country,iso3,year,merchandise_trade_pct_gdp
Kenya,KEN,2019,23.405425395813
Kenya,KEN,2018,25.4113261889572
Kenya,KEN,2017,27.3463604925433
Kenya,KEN,2016,26.4679032852238
Libya,LBY,2025,102.698793791368
Libya,LBY,2024,100.420418151088
Libya,LBY,2023,116.458595064653
Libya,LBY,2022,127.925400920962
Libya,LBY,2021,130.410601613948
Libya,LBY,2020,41.7080312210866
Libya,LBY,2019,64.0463829206081
Libya,LBY,2018,58.3352667140519
Libya,LBY,2017,45.0984946808624
Libya,LBY,2016,63.1871161850361
Morocco,MAR,2025,75.2112754621316
Morocco,MAR,2024,75.2906117739302
Morocco,MAR,2023,75.5114692752826
Morocco,MAR,2022,86.3177492431792
Morocco,MAR,2021,66.1002952825673
Morocco,MAR,2020,58.498448865357
Morocco,MAR,2019,61.9499185227724
Morocco,MAR,2018,62.5461616394071
Morocco,MAR,2017,58.8507360965101
Morocco,MAR,2016,57.4081815703738
Madagascar,MDG,2025,39.4386399687679
Madagascar,MDG,2024,42.1478458192217
Madagascar,MDG,2023,49.6548294826966
Madagascar,MDG,2022,59.1832505524163
Madagascar,MDG,2021,49.7257630287997
Madagascar,MDG,2020,40.2024567093066
Madagascar,MDG,2019,47.062444597605
Madagascar,MDG,2018,52.114699527858
Madagascar,MDG,2017,49.4675536804937
Madagascar,MDG,2016,44.0557862916666
Mozambique,MOZ,2025,77.4912807276577
Mozambique,MOZ,2024,76.5814563698123
Mozambique,MOZ,2023,87.769688098876
Mozambique,MOZ,2022,121.63586674618
Mozambique,MOZ,2021,89.4479860114536
Mozambique,MOZ,2020,71.891098926298
Mozambique,MOZ,2019,80.4885833811664
Mozambique,MOZ,2018,91.6739091289532
Mozambique,MOZ,2017,79.1276618816034
Mozambique,MOZ,2016,70.7097834974499
Nigeria,NGA,2025,33.328706748657
Nigeria,NGA,2024,37.493972512774
Nigeria,NGA,2023,21.4634013401566
Nigeria,NGA,2022,19.0781282725751
Nigeria,NGA,2021,16.2113387688552
Nigeria,NGA,2020,11.9237507201125
Nigeria,NGA,2019,17.627128982842
Nigeria,NGA,2018,24.5540341880582
Nigeria,NGA,2017,20.1575144413897
